months	date	usd	eur
2010-01	1	1.47	2.1
2010-02	2	1.51	2.06
2010-03	3	1.53	2.08
2010-04	4	1.49	2
2010-05	5	1.53	1.94
2010-06	6	1.57	1.92
2010-07	7	1.54	1.96
2010-08	8	1.5	1.94
2010-09	9	1.49	1.94
2010-10	10	1.42	1.97
2010-11	11	1.43	1.96
2010-12	12	1.51	2
2011-01	13	1.55	2.07
2011-02	14	1.58	2.16
2011-03	15	1.57	2.2
2011-04	16	1.52	2.19
2011-05	17	1.56	2.25
2011-06	18	1.59	2.29
2011-07	19	1.65	2.35
2011-08	20	1.74	2.5
2011-09	21	1.79	2.46
2011-10	22	1.83	2.5
2011-11	23	1.8	2.45
2011-12	24	1.86	2.45
2012-01	25	1.84	2.37
2012-02	26	1.75	2.31
2012-03	27	1.78	2.35
2012-04	28	1.78	2.34
2012-05	29	1.8	2.31
2012-06	30	1.82	2.27
2012-07	31	1.8	2.22
2012-08	32	1.79	2.21
2012-09	33	1.8	2.31
2012-10	34	1.79	2.33
2012-11	35	1.79	2.29
2012-12	36	1.78	2.33
2013-01	37	1.76	2.34
2013-02	38	1.77	2.37
2013-03	39	1.81	2.34
2013-04	40	1.8	2.34
2013-05	41	1.82	2.37
2013-06	42	1.89	2.5
2013-07	43	1.93	2.52
2013-08	44	1.95	2.6
2013-09	45	2.02	2.69
2013-10	46	1.99	2.71
2013-11	47	2.02	2.73
2013-12	48	2.06	2.82
2014-01	49	2.22	3.02
2014-02	50	2.21	3.02
2014-03	51	2.22	3.07
2014-04	52	2.13	2.94
2014-05	53	2.09	2.87
2014-06	54	2.12	2.88
2014-07	55	2.12	2.88
2014-08	56	2.16	2.88
2014-09	57	2.2	2.85
2014-10	58	2.26	2.86
2014-11	59	2.23	2.79
2014-12	60	2.29	2.82
2015-01	61	2.33	2.72
2015-02	62	2.46	2.79
2015-03	63	2.58	2.8
2015-04	64	2.65	2.85
2015-05	65	2.65	2.96
2015-06	66	2.7	3.03
2015-07	67	2.69	2.97
2015-08	68	2.85	3.17
2015-09	69	3	3.37
2015-10	70	2.93	3.3
2015-11	71	2.87	3.09
2015-12	72	2.92	3.17
2016-01	73	3.01	3.27
2016-02	74	2.94	3.26
2016-03	75	2.89	3.21
2016-04	76	2.83	3.21
2016-05	77	2.93	3.31
2016-06	78	2.92	3.28
2016-07	79	2.96	3.27
2016-08	80	2.96	3.32
2016-09	81	2.96	3.32
2016-10	82	3.07	3.39
2016-11	83	3.27	3.53
2016-12	84	3.49	3.68
2017-01	85	3.73	3.97
2017-02	86	3.67	3.91
2017-03	87	3.67	3.92
2017-04	88	3.65	3.91
2017-05	89	3.56	3.93
2017-06	90	3.52	3.95
2017-07	91	3.56	4.09
2017-08	92	3.51	4.14
2017-09	93	3.47	4.14
2017-10	94	3.66	4.31
2017-11	95	3.88	4.55
2017-12	96	3.85	4.55
2018-01	97	3.77	4.59
2018-02	98	3.78	4.67
2018-03	99	3.88	4.79
2018-04	100	4.05	4.98
2018-05	101	4.41	5.22
2018-06	102	4.63	5.41
2018-07	103	4.75	5.55
2018-08	104	5.73	6.61
2018-09	105	6.37	7.42
2018-10	106	5.86	6.74
2018-11	107	5.37	6.11
2018-12	108	5.31	6.04
2019-01	109	5.37	6.13
2019-02	110	5.26	5.98
2019-03	111	5.44	6.16
2019-04	112	5.74	6.45
2019-05	113	6.05	6.77
2019-06	114	5.81	6.56
2019-07	115	5.67	6.37
2019-08	116	5.62	6.26
2019-09	117	5.71	6.29
2019-10	118	5.78	6.39
2019-11	119	5.73	6.34
2019-12	120	5.84	6.48
2020-01	121	5.92	6.58
2020-02	122	6.04	6.59
2020-03	123	6.31	6.99
2020-04	124	6.82	7.42
2020-05	125	6.95	7.56
2020-06	126	6.81	7.66
2020-07	127	6.85	7.82
2020-08	128	7.25	8.58
2020-09	129	7.51	8.86
2020-10	130	7.87	9.27
2020-11	131	8.42	9.86
