number	date	kg	usd
1	2010-01	236.2	1.47
2	2010-02	294.7	1.51
3	2010-03	317.26	1.53
4	2010-04	232.19	1.49
5	2010-05	703.5	1.53
6	2010-06	293.18	1.57
7	2010-07	1269.05	1.54
8	2010-08	461.48	1.5
9	2010-09	403.8	1.49
10	2010-10	579	1.42
11	2010-11	397.17	1.43
12	2010-12	461	1.51
13	2011-01	875.67	1.55
14	2011-02	415.85	1.58
15	2011-03	465.3	1.57
16	2011-04	368.81	1.52
17	2011-05	387.43	1.56
18	2011-06	710.18	1.59
19	2011-07	1018.76	1.65
20	2011-08	1905.14	1.74
21	2011-09	1513.43	1.79
22	2011-10	957.24	1.83
23	2011-11	1135.42	1.8
24	2011-12	980.59	1.86
25	2012-01	752.73	1.84
26	2012-02	682.29	1.75
27	2012-03	882	1.78
28	2012-04	1182.15	1.78
29	2012-05	1930	1.8
30	2012-06	1944.52	1.82
31	2012-07	1987.86	1.8
32	2012-08	1443.45	1.79
33	2012-09	1109.15	1.8
34	2012-10	1145.3	1.79
35	2012-11	797.41	1.79
36	2012-12	806.05	1.78
37	2013-01	976.68	1.76
38	2013-02	1599.4	1.77
39	2013-03	1180.71	1.81
40	2013-04	3264.33	1.8
41	2013-05	2541.64	1.82
42	2013-06	2568.25	1.89
43	2013-07	1750.22	1.93
44	2013-08	1391.5	1.95
45	2013-09	972.33	2.02
46	2013-10	1255.06	1.99
47	2013-11	1566.95	2.02
48	2013-12	1953.68	2.06
49	2014-01	704.41	2.22
50	2014-02	531.8	2.21
51	2014-03	635.43	2.22
52	2014-04	565.71	2.13
53	2014-05	832.9	2.09
54	2014-06	1144.76	2.12
55	2014-07	623.85	2.12
56	2014-08	578.29	2.16
57	2014-09	966.73	2.2
58	2014-10	932.5	2.26
59	2014-11	3048.9	2.23
60	2014-12	1061.74	2.29
61	2015-01	1672.71	2.33
62	2015-02	1457.85	2.46
63	2015-03	870.5	2.58
64	2015-04	963.52	2.65
65	2015-05	528.95	2.65
66	2015-06	478.32	2.7
67	2015-07	1454.14	2.69
68	2015-08	1249.38	2.85
69	2015-09	791.05	3
70	2015-10	1001.35	2.93
71	2015-11	774.48	2.87
72	2015-12	992.65	2.92
73	2016-01	464.8	3.01
74	2016-02	1161.76	2.94
75	2016-03	902.22	2.89
76	2016-04	612.24	2.83
77	2016-05	1022.43	2.93
78	2016-06	1015.14	2.92
79	2016-07	591.47	2.96
80	2016-08	736.09	2.96
81	2016-09	777.5	2.96
82	2016-10	1570.3	3.07
83	2016-11	886.5	3.27
84	2016-12	1829.77	3.49
85	2017-01	750.41	3.73
86	2017-02	1214.1	3.67
87	2017-03	1282.22	3.67
88	2017-04	1485	3.65
89	2017-05	3336.65	3.56
90	2017-06	2747.15	3.52
91	2017-07	3326.19	3.56
92	2017-08	1701.43	3.51
93	2017-09	1740.21	3.47
94	2017-10	1103.86	3.66
95	2017-11	791.86	3.88
96	2017-12	1886.05	3.85
97	2018-01	2542.59	3.77
98	2018-02	999.95	3.78
99	2018-03	1229.95	3.88
100	2018-04	1433.4	4.05
101	2018-05	916.41	4.41
102	2018-06	811.21	4.63
