number	months	amount
1	2010-01	8
2	2010-02	8
3	2010-03	8
4	2010-04	7
5	2010-05	10
6	2010-06	9
7	2010-07	11
8	2010-08	9
9	2010-09	10
10	2010-10	9
11	2010-11	9
12	2010-12	10
13	2011-01	11
14	2011-02	12
15	2011-03	15
16	2011-04	15
17	2011-05	14
18	2011-06	13
19	2011-07	16
20	2011-08	28
21	2011-09	31
22	2011-10	24
23	2011-11	19
24	2011-12	18
25	2012-01	16
26	2012-02	15
27	2012-03	15
28	2012-04	14
29	2012-05	16
30	2012-06	16
31	2012-07	13
32	2012-08	14
33	2012-09	18
34	2012-10	14
35	2012-11	13
36	2012-12	12
37	2013-01	12
38	2013-02	14
39	2013-03	13
40	2013-04	22
41	2013-05	17
42	2013-06	18
43	2013-07	20
44	2013-08	22
45	2013-09	22
46	2013-10	17
47	2013-11	16
48	2013-12	16
49	2014-01	22
50	2014-02	17
51	2014-03	16
52	2014-04	14
53	2014-05	12
54	2014-06	14
55	2014-07	12
56	2014-08	12
57	2014-09	11
58	2014-10	11
59	2014-11	15
60	2014-12	16
61	2015-01	17
62	2015-02	17
63	2015-03	14
64	2015-04	13
65	2015-05	11
66	2015-06	12
67	2015-07	14
68	2015-08	17
69	2015-09	13
70	2015-10	11
71	2015-11	15
72	2015-12	13
73	2016-01	13
74	2016-02	17
75	2016-03	14
76	2016-04	12
77	2016-05	15
78	2016-06	14
79	2016-07	17
80	2016-08	13
81	2016-09	12
82	2016-10	12
83	2016-11	17
84	2016-12	15
85	2017-01	19
86	2017-02	17
87	2017-03	15
88	2017-04	17
89	2017-05	18
90	2017-06	15
91	2017-07	17
92	2017-08	15
93	2017-09	16
94	2017-10	18
95	2017-11	18
96	2017-12	18
97	2018-01	16
98	2018-02	15
99	2018-03	17
100	2018-04	21
101	2018-05	28
102	2018-06	26
