number	date	amount
1	2012-01	112114.67
2	2012-02	116592.31
3	2012-03	115207.92
4	2012-04	116368.25
5	2012-05	114327.09
6	2012-06	114501.16
7	2012-07	115479.22
8	2012-08	115678.58
9	2012-09	118263.34
10	2012-10	117989.64
11	2012-11	118625.64
12	2012-12	120697.30
13	2013-01	125268.14
14	2013-02	120652.80
15	2013-03	120468.39
16	2013-04	124118.55
17	2013-05	120930.26
18	2013-06	117432.83
19	2013-07	123558.77
20	2013-08	127720.62
21	2013-09	130373.93
22	2013-10	133884.96
23	2013-11	136656.74
24	2013-12	137635.47
25	2014-01	141552.74
26	2014-02	148554.62
27	2014-03	152613.76
28	2014-04	155457.82
29	2014-05	154450.59
30	2014-06	148112.13
31	2014-07	151860.87
32	2014-08	154607.34
33	2014-09	150811.14
34	2014-10	158019.54
35	2014-11	157531.95
36	2014-12	146333.87
37	2015-01	145619.22
38	2015-02	148240.94
39	2015-03	149976.19
40	2015-04	155588.01
41	2015-05	162970.60
42	2015-06	166578.65
43	2015-07	165119.00
44	2015-08	165992.67
45	2015-09	165208.26
46	2015-10	170922.90
47	2015-11	165842.94
48	2015-12	162574.82
49	2016-01	159181.00
50	2016-02	161891.55
51	2016-03	173683.65
52	2016-04	174903.83
53	2016-05	166642.70
54	2016-06	167963.52
55	2016-07	158556.53
56	2016-08	160102.26
57	2016-09	156340.44
58	2016-10	153613.72
59	2016-11	154135.13
60	2016-12	154237.60
61	2017-01	156823.21
62	2017-02	161080.23
63	2017-03	165985.18
64	2017-04	154279.77
65	2017-05	156045.90
66	2017-06	177456.21
67	2017-07	175756.34
68	2017-08	183180.52
69	2017-09	182195.87
70	2017-10	176128.30
71	2017-11	175829.88
72	2017-12	179929.53
73	2018-01	184318.16
74	2018-02	184235.89
75	2018-03	180501.52
76	2018-04	180543.27
77	2018-05	179326.55
78	2018-06	175148.36
79	2018-07	173501.86
80	2018-08	166044.06
81	2018-09	166598.44
82	2018-10	168565.83
83	2018-11	169844.38
84	2018-12	173920.26
85	2019-01	177510.07
86	2019-02	185245.97
87	2019-03	195551.89
88	2019-04	193323.43
89	2019-05	196239.12
90	2019-06	198619.97
91	2019-07	198914.60
92	2019-08	198061.78
93	2019-09	201014.51
94	2019-10	205234.01
95	2019-11	200740.24
96	2019-12	201091.09
97	2020-01	200026.37
98	2020-02	201959.30
99	2020-03	197559.58
100	2020-04	193267.41
101	2020-05	196510.84
102	2020-06	196484.35
103	2020-07	205439.23
104	2020-08	205584.44
