number	date	amount
1	2012-01	5
2	2012-02	5
3	2012-03	5
4	2012-04	4
5	2012-05	6
6	2012-06	6
7	2012-07	6
8	2012-08	8
9	2012-09	5
10	2012-10	4
11	2012-11	2
12	2012-12	8
13	2013-01	7
14	2013-02	6
15	2013-03	6
16	2013-04	4
17	2013-05	5
18	2013-06	7
19	2013-07	6
20	2013-08	6
21	2013-09	7
22	2013-10	7
23	2013-11	6
24	2013-12	7
25	2014-01	12
26	2014-02	6
27	2014-03	7
28	2014-04	9
29	2014-05	5
30	2014-06	5
31	2014-07	8
32	2014-08	7
33	2014-09	8
34	2014-10	11
35	2014-11	8
36	2014-12	11
37	2015-01	14
38	2015-02	13
39	2015-03	19
40	2015-04	13
41	2015-05	12
42	2015-06	15
43	2015-07	15
44	2015-08	16
45	2015-09	11
46	2015-10	17
47	2015-11	13
48	2015-12	15
49	2016-01	13
50	2016-02	15
51	2016-03	15
52	2016-04	11
53	2016-05	17
54	2016-06	13
55	2016-07	16
56	2016-08	11
57	2016-09	16
58	2016-10	12
59	2016-11	24
60	2016-12	24
61	2017-01	31
62	2017-02	22
63	2017-03	15
64	2017-04	18
65	2017-05	17
66	2017-06	18
67	2017-07	21
68	2017-08	21
69	2017-09	20
70	2017-10	23
71	2017-11	26
72	2017-12	21
73	2018-01	23
74	2018-02	24
75	2018-03	22
76	2018-04	24
77	2018-05	47
78	2018-06	35
79	2018-07	25
80	2018-08	100
81	2018-09	46
82	2018-10	33
83	2018-11	22
84	2018-12	33
85	2019-01	42
86	2019-02	36
87	2019-03	64
88	2019-04	35
89	2019-05	45
90	2019-06	30
91	2019-07	33
92	2019-08	38
93	2019-09	38
94	2019-10	29
95	2019-11	20
96	2019-12	25
97	2020-01	31
98	2020-02	28
99	2020-03	30
100	2020-04	35
101	2020-05	33
102	2020-06	34
103	2020-07	32
104	2020-08	49
